id,usefors,description,name,refId
"1343","","When a picture or symbol is used to replace a number in a number statement, I can find its value using my knowledge of number facts and explain my thinking to others.","MTH 1-15b","tcm:4-512919"
"1344","","I can apply my knowledge of number facts to solve problems where an unknown value is represented by a symbol or letter.","MTH 2-15a","tcm:4-512922"
"1345","","I can collect like algebraic terms, simplify expressions and evaluate using substitution.","MTH 3-14a","tcm:4-512916"
"1346","","Having discussed ways to express problems or statements using mathematical language, I can construct, and use appropriate methods to solve, a range of simple equations.","MTH 3-15a","tcm:4-512923"
"1347","","I can create and evaluate a simple formula representing information contained in a diagram, problem or statement.","MTH 3-15b","tcm:4-512925"
"1348","","Having explored the distributive law in practical contexts, I can simplify, multiply and evaluate simple algebraic terms involving a bracket.","MTH 4-14a","tcm:4-512918"
"1349","","I can find the factors of algebraic terms, use my understanding to identify common factors and apply this to factorise expressions.","MTH 4-14b","tcm:4-512917"
"1350","","Having discussed the benefits of using mathematics to model real-life situations, I can construct and solve inequalities and an extended range of equations.","MTH 4-15a","tcm:4-512926"
"1351","","","Fractions, decimal fractions and percentages","tcm:4-512814"
"1352","","I can share out a group of items by making smaller groups and can split a whole object into smaller parts.","MNU 0-07a","tcm:4-512853"
"1353","","Having explored fractions by taking part in practical activities, I can show my understanding of: how a single item can be shared equally the notation and vocabulary associated with fractions where simple fractions lie on the number line.","MNU 1-07a","tcm:4-512854"
"1354","","Through exploring how groups of items can be shared equally, I can find a fraction of an amount by applying my knowledge of division.","MNU 1-07b","tcm:4-512855"
"1355","","I have investigated the everyday contexts in which simple fractions, percentages or decimal fractions are used and can carry out the necessary calculations to solve related problems.","MNU 2-07a","tcm:4-512858"
"1356","","I can show the equivalent forms of simple fractions, decimal fractions and percentages and can choose my preferred form when solving a problem, explaining my choice of method.","MNU 2-07b","tcm:4-512857"
"1357","","I can solve problems by carrying out calculations with a wide range of fractions, decimal fractions and percentages, using my answers to make comparisons and informed choices for real-life situations.","MNU 3-07a","tcm:4-512862"
"1358","","I can show how quantities that are related can be increased or decreased proportionally and apply this to solve problems in everyday contexts.","MNU 3-08a","tcm:4-512865"
"1359","","I can choose the most appropriate form of fractions, decimal fractions and percentages to use when making calculations mentally, in written form or using technology, then use my solutions to make comparisons, decisions and choices.","MNU 4-07a","tcm:4-512864"
"1360","","Using proportion, I can calculate the change in one quantity caused by a change in a related quantity and solve real-life problems.","MNU 4-08a","tcm:4-512866"
"1361","","Through taking part in practical activities including use of pictorial representations, I can demonstrate my understanding of simple fractions which are equivalent.","MTH 1-07c","tcm:4-534579"
"1362","","I have investigated how a set of equivalent fractions can be created, understanding the meaning of simplest form, and can apply my knowledge to compare and order the most commonly used fractions.","MTH 2-07c","tcm:4-512859"
"1363","","By applying my knowledge of equivalent fractions and common multiples, I can add and subtract commonly used fractions.","MTH 3-07b","tcm:4-512860"
"1364","","Having used practical, pictorial and written methods to develop my understanding, I can convert between whole or mixed numbers and fractions.","MTH 3-07c","tcm:4-512861"
"1365","","I can solve problems involving fractions and mixed numbers in context, using addition, subtraction or multiplication.","MTH 4-07b","tcm:4-512863"
"1366","","","Mathematics and its impact on the world, past, present and future","tcm:4-512804"
"1367","","I have discussed the important part that numbers play in the world and explored a variety of systems that have been used by civilisations throughout history to record numbers.","MTH 1-12a","tcm:4-512899"
"1368","","I have worked with others to explore, and present our findings on, how mathematics impacts on the world and the important part it has played in advances and inventions.","MTH 2-12a","tcm:4-512900"
"1369","","I have worked with others to research a famous mathematician and the work they are known for, or investigated a mathematical topic, and have prepared and delivered a short presentation.","MTH 3-12a","tcm:4-512902"
"1370","","I have discussed the importance of mathematics in the real world, investigated the mathematical skills required for different career paths and delivered, with others, a presentation on how mathematics can be applied in the workplace.","MTH 4-12a","tcm:4-512904"
"1371","","","Measurement","tcm:4-512806"
"1372","","I have experimented with everyday items as units of measure to investigate and compare sizes and amounts in my environment, sharing my findings with others.","MNU 0-11a","tcm:4-512890"
"1373","","I can estimate how long or heavy an object is, or what amount it holds, using everyday things as a guide, then measure or weigh it using appropriate instruments and units.","MNU 1-11a","tcm:4-512891"
"1374","","I can estimate the area of a shape by counting squares or other methods.","MNU 1-11b","tcm:4-512892"
"1375","","I can use my knowledge of the sizes of familiar objects or places to assist me when making an estimate of measure.","MNU 2-11a","tcm:4-512893"
"1376","","I can use the common units of measure, convert between related units of the metric system and carry out calculations when solving problems.","MNU 2-11b","tcm:4-512906"
"1377","","I can explain how different methods can be used to find the perimeter and area of a simple 2D shape or volume of a simple 3D object.","MNU 2-11c","tcm:4-512897"
"1378","","I can solve practical problems by applying my knowledge of measure, choosing the appropriate units and degree of accuracy for the task and using a formula to calculate area or volume when required.","MNU 3-11a","tcm:4-512901"
"1379","","I can apply my knowledge and understanding of measure to everyday problems and tasks and appreciate the practical importance of accuracy when making calculations.","MNU 4-11a","tcm:4-512894"
"1380","","Having investigated different routes to a solution, I can find the area of compound 2D shapes and the volume of compound 3D objects, applying my knowledge to solve practical problems.","MTH 3-11b","tcm:4-512895"
"1381","","Through investigating real-life problems involving the surface area of simple 3D shapes, I can explore ways to make the most efficient use of materials and carry out the necessary calculations to solve related problems.","MTH 4-11b","tcm:4-512896"
"1382","","I have explored with others the practicalities of the use of 3D objects in everyday life and can solve problems involving the volume of a prism, using a formula to make related calculations when required.","MTH 4-11c","tcm:4-512898"
"1383","","","Money","tcm:4-512810"
"1384","","I am developing my awareness of how money is used and can recognise and use a range of coins.","MNU 0-09a","tcm:4-512867"
"1385","","I can use money to pay for items and can work out how much change I should receive.","MNU 1-09a","tcm:4-512869"
"1386","","I have investigated how different combinations of coins and notes can be used to pay for goods or be given in change.","MNU 1-09b","tcm:4-512870"
"1387","","I can manage money, compare costs from different retailers, and determine what I can afford to buy.","MNU 2-09a","tcm:4-512871"
"1388","","I understand the costs, benefits and risks of using bank cards to purchase goods or obtain cash and realise that budgeting is important.","MNU 2-09b","tcm:4-512872"
"1389","","I can use the terms profit and loss in buying and selling activities and can make simple calculations for this.","MNU 2-09c","tcm:4-512873"
"1390","","When considering how to spend my money, I can source, compare and contrast different contracts and services, discuss their advantages and disadvantages, and explain which offer best value to me.","MNU 3-09a","tcm:4-512874"
"1391","","I can budget effectively, making use of technology and other methods, to manage money and plan for future expenses.","MNU 3-09b","tcm:4-531754"
"1392","","I can discuss and illustrate the facts I need to consider when determining what I can afford, in order to manage credit and debt and lead a responsible lifestyle.","MNU 4-09a","tcm:4-512876"
"1393","","I can source information on earnings and deductions and use it when making calculations to determine net income.","MNU 4-09b","tcm:4-512877"
"1394","","I can research, compare and contrast a range of personal finance products and, after making calculations, explain my preferred choices.","MNU 4-09c","tcm:4-512878"
"1395","","","Multiples, factors and primes","tcm:4-512819"
"1396","","Having explored the patterns and relationships in multiplication and division, I can investigate and identify the multiples and factors of numbers.","MTH 2-05a","tcm:4-512847"
"1397","","I have investigated strategies for identifying common multiples and common factors, explaining my ideas to others, and can apply my understanding to solve related problems.","MTH 3-05a","tcm:4-512848"
"1398","","I can apply my understanding of factors to investigate and identify when a number is prime.","MTH 3-05b","tcm:4-512849"
"1399","","","Number and number processes","tcm:4-512885"
"1400","","I have explored numbers, understanding that they represent quantities and I can use them to count, create sequences and describe order.","MNU 0-02a","tcm:4-512834"
"1401","","I use practical materials and can 'count on and back' to help me to understand addition and subtraction, recording my ideas and solutions in different ways.","MNU 0-03a","tcm:4-512836"
"1402","","I have investigated how whole numbers are constructed, can understand the importance of zero within the system and can use my knowledge to explain the link between a digit, its place and its value.","MNU 1-02a","tcm:4-512835"
"1403","","I can use addition, subtraction, multiplication and division when solving problems, making best use of the mental strategies and written skills I have developed.","MNU 1-03a","tcm:4-512837"
"1404","","I have extended the range of whole numbers I can work with and having explored how decimal fractions are constructed, can explain the link between a digit, its place and its value.","MNU 2-02a","tcm:4-512868"
"1405","","Having determined which calculations are needed, I can solve problems involving whole numbers using a range of methods, sharing my approaches and solutions with others.","MNU 2-03a","tcm:4-512838"
"1406","","I have explored the contexts in which problems involving decimal fractions occur and can solve related problems using a variety of methods.","MNU 2-03b","tcm:4-512839"
"1407","","I can show my understanding of how the number line extends to include numbers less than zero and have investigated how these numbers occur and are used.","MNU 2-04a","tcm:4-512845"
"1408","","I can use a variety of methods to solve number problems in familiar contexts, clearly communicating my processes and solutions.","MNU 3-03a","tcm:4-512841"
"1409","","I can continue to recall number facts quickly and use them accurately when making calculations.","MNU 3-03b","tcm:4-512842"
"1410","","I can use my understanding of numbers less than zero to solve simple problems in context.","MNU 3-04a","tcm:4-512846"
"1411","","Having recognised similarities between new problems and problems I have solved before, I can carry out the necessary calculations to solve problems set in unfamiliar contexts.","MNU 4-03a","tcm:4-512843"
"1412","","Having explored the need for rules for the order of operations in number calculations, I can apply them correctly when solving simple problems.","MTH 2-03c","tcm:4-512840"
"1413","","I have investigated how introducing brackets to an expression can change the emphasis and can demonstrate my understanding by using the correct order of operations when carrying out calculations.","MTH 4-03b","tcm:4-512844"
"1414","","","Patterns and relationships","tcm:4-512803"
"1415","","I have spotted and explored patterns in my own and the wider environment and can copy and continue these and create my own patterns.","MTH 0-13a","tcm:4-512903"
"1416","","I can continue and devise more involved repeating patterns or designs, using a variety of media.","MTH 1-13a","tcm:4-512905"
"1417","","Through exploring number patterns, I can recognise and continue simple number sequences and can explain the rule I have applied.","MTH 1-13b","tcm:4-512907"
"1418","","Having explored more complex number sequences, including well-known named number patterns, I can explain the rule used to generate the sequence, and apply it to extend the pattern.","MTH 2-13a","tcm:4-512908"
"1419","","Having explored number sequences, I can establish the set of numbers generated by a given rule and determine a rule for a given sequence, expressing it using appropriate notation.","MTH 3-13a","tcm:4-512911"
"1420","","Having explored how real-life situations can be modelled by number patterns, I can establish a number sequence to represent a physical or pictorial pattern, determine a general formula to describe the sequence, then use it to make evaluations and solve related problems.","MTH 4-13a","tcm:4-512914"
"1421","","I have discussed ways to describe the slope of a line, can interpret the definition of gradient and use it to make relevant calculations, interpreting my answer for the context of the problem.","MTH 4-13b","tcm:4-512912"
"1422","","Having investigated the pattern of the co-ordinate points lying on a horizontal or vertical line, I can describe the pattern using a simple equation.","MTH 4-13c","tcm:4-512913"
"1423","","I can use a given formula to generate points lying on a straight line, plot them to create a graphical representation then use this to answer related questions.","MTH 4-13d","tcm:4-512909"
"1424","","","Powers and roots","tcm:4-512817"
"1425","","Having explored the notation and vocabulary associated with whole number powers and the advantages of writing numbers in this form, I can evaluate powers of whole numbers mentally or using technology.","MTH 3-06a","tcm:4-512850"
"1426","","I have developed my understanding of the relationship between powers and roots and can carry out calculations mentally or using technology to evaluate whole number powers and roots, of any appropriate number.","MTH 4-06a","tcm:4-512851"
"1427","","Within real life contexts, I can use scientific notation to express large or small numbers in a more efficient way and can understand and work with numbers written in this form.","MTH 4-06b","tcm:4-531757"
"1428","","","Time","tcm:4-512807"
"1429","","I am aware of how routines and events in my world link with times and seasons, and have explored ways to record and display these using clocks, calendars and other methods.","MNU 0-10a","tcm:4-512879"
"1430","","I can tell the time using 12 hour clocks, realising there is a link with 24 hour notation, explain how it impacts on my daily routine and ensure that I am organised and ready for events throughout my day.","MNU 1-10a","tcm:4-512880"
"1431","","I can use a calendar to plan and be organised for key events for myself and my class throughout the year.","MNU 1-10b","tcm:4-512884"
"1432","","I have begun to develop a sense of how long tasks take by measuring the time taken to complete a range of activities using a variety of timers.","MNU 1-10c","tcm:4-512881"
"1433","","I can use and interpret electronic and paper-based timetables and schedules to plan events and activities, and make time calculations as part of my planning.","MNU 2-10a","tcm:4-512882"
"1434","","I can carry out practical tasks and investigations involving timed events and can explain which unit of time would be most appropriate to use.","MNU 2-10b","tcm:4-512883"
"1435","","Using simple time periods, I can give a good estimate of how long a journey should take, based on my knowledge of the link between time, speed and distance.","MNU 2-10c","tcm:4-512887"
"1436","","Using simple time periods, I can work out how long a journey will take, the speed travelled at or distance covered, using my knowledge of the link between time, speed and distance.","MNU 3-10a","tcm:4-512889"
"1437","","I can research, compare and contrast aspects of time and time management as they impact on me.","MNU 4-10a","tcm:4-512886"
"1438","","I can use the link between time, speed and distance to carry out related calculations.","MNU 4-10b","tcm:4-512888"
"1439","","","Shape, position and movement","tcm:4-512796"
"1440","","","Angle, symmetry and transformation","tcm:4-512797"
"1441","","In movement, games, and using technology I can use simple directions and describe positions.","MTH 0-17a","tcm:4-512940"
"1442","","I have had fun creating a range of symmetrical pictures and patterns using a range of media.","MTH 0-19a","tcm:4-512961"
"1443","","I can describe, follow and record routes and journeys using signs, words and angles associated with direction and turning.","MTH 1-17a","tcm:4-512945"
"1444","","I have developed an awareness of where grid reference systems are used in everyday contexts and can use them to locate and describe position.","MTH 1-18a","tcm:4-512962"
"1445","","I have explored symmetry in my own and the wider environment and can create and recognise symmetrical pictures, patterns and shapes.","MTH 1-19a","tcm:4-512963"
"1446","","I have investigated angles in the environment, and can discuss, describe and classify angles using appropriate mathematical vocabulary.","MTH 2-17a","tcm:4-512941"
"1447","","I can accurately measure and draw angles using appropriate equipment, applying my skills to problems in context.","MTH 2-17b","tcm:4-512943"
"1448","","Through practical activities which include the use of technology, I have developed my understanding of the link between compass points and angles and can describe, follow and record directions, routes and journeys using appropriate vocabulary.","MTH 2-17c","tcm:4-512947"
"1449","","Having investigated where, why and how scale is used and expressed, I can apply my understanding to interpret simple models, maps and plans.","MTH 2-17d","tcm:4-512946"
"1450","","I can use my knowledge of the co-ordinate system to plot and describe the location of a point on a grid.","MTH 2-18a","tcm:4-512957"
"1451","","I can illustrate the lines of symmetry for a range of 2D shapes and apply my understanding to create and complete symmetrical pictures and patterns.","MTH 2-19a","tcm:4-512965"
"1452","","I can name angles and find their sizes using my knowledge of the properties of a range of 2D shapes and the angle properties associated with intersecting and parallel lines.","MTH 3-17a","tcm:4-512948"
"1453","","Having investigated navigation in the world, I can apply my understanding of bearings and scale to interpret maps and plans and create accurate plans, and scale drawings of routes and journeys.","MTH 3-17b","tcm:4-512950"
"1454","","I can apply my understanding of scale when enlarging or reducing pictures and shapes, using different methods, including technology.","MTH 3-17c","tcm:4-512951"
"1455","","I can use my knowledge of the co-ordinate system to plot and describe the location of a point on a grid.","MTH 3-18a","tcm:4-541283"
"1456","","I can illustrate the lines of symmetry for a range of 2D shapes and apply my understanding to create and complete symmetrical pictures and patterns.","MTH 3-19a","tcm:4-541295"
"1457","","Having investigated the relationship between a radius and a tangent and explored the size of the angle in a semi-circle, I can use the facts I have established to solve related problems.","MTH 4-17a","tcm:4-512952"
"1458","","I can apply my understanding of the properties of similar figures to solve problems involving length and area.","MTH 4-17b","tcm:4-512954"
"1459","","I can plot and describe the position of a point on a 4-quadrant co-ordinate grid.","MTH 4-18a","tcm:4-512960"
"1460","","I can apply my understanding of the 4-quadrant co-ordinate system to move, and describe the transformation of, a point or shape on a grid.","MTH 4-18b","tcm:4-512958"
"1461","","Having investigated patterns in the environment, I can use appropriate mathematical vocabulary to discuss the rotational properties of shapes, pictures and patterns and can apply my understanding when completing or creating designs.","MTH 4-19a","tcm:4-512966"
"1462","","","Properties of 2D shapes and 3D objects","tcm:4-512795"
"1463","","I enjoy investigating objects and shapes and can sort, describe and be creative with them.","MTH 0-16a","tcm:4-512927"
"1464","","I have explored simple 3D objects and 2D shapes and can identify, name and describe their features using appropriate vocabulary.","MTH 1-16a","tcm:4-512932"
"1465","","I can explore and discuss how and why different shapes fit together and create a tiling pattern with them.","MTH 1-16b","tcm:4-512929"
"1466","","Having explored a range of 3D objects and 2D shapes, I can use mathematical language to describe their properties, and through investigation can discuss where and why particular shapes are used in the environment.","MTH 2-16a","tcm:4-512930"
"1467","","Through practical activities, I can show my understanding of the relationship between 3D objects and their nets.","MTH 2-16b","tcm:4-512933"
"1468","","I can draw 2D shapes and make representations of 3D objects using an appropriate range of methods and efficient use of resources.","MTH 2-16c","tcm:4-512934"
"1469","","Having investigated a range of methods, I can accurately draw 2D shapes using appropriate mathematical instruments and methods.","MTH 3-16a","tcm:4-512936"
"1470","","I have explored the relationships that exist between the sides, or sides and angles, in right angled triangles and can select and use an appropriate strategy to solve related problems, interpreting my answer for the context.","MTH 4-16a","tcm:4-512937"
"1471","","Having investigated the relationships between the radius, diameter, circumference and area of a circle, I can apply my knowledge to solve related problems.","MTH 4-16b","tcm:4-512939"
"1472","","","Religious and moral education","tcm:4-513468"
"1473","","","Christianity","tcm:4-513469"
"1474","","","Beliefs","tcm:4-513472"
"1475","","As I explore Christian stories, images, music and poems, I am becoming familiar with some beliefs Christian people have about God and Jesus.","RME 0-01a","tcm:4-513864"
"1476","","Through exploring Bible stories, I can describe some beliefs Christians have about God and Jesus.","RME 1-01a","tcm:4-513863"
"1477","","By exploring some places and investigating artefacts, I am developing my knowledge of Christian beliefs and my awareness of the role of Christianity in Scottish society and the world.","RME 1-01b","tcm:4-513869"
"1478","","I can talk about my own beliefs, or express them in other ways.","RME 1-01c","tcm:4-513872"
"1479","","Through investigating and reflecting upon biblical and other Christian stories, I can show my understanding of these stories.","RME 2-01a","tcm:4-513865"
"1480","","Through exploring the lives and teachings of Jesus and other figures in Christianity, I am increasing my knowledge and understanding of key Christian beliefs.","RME 2-01b","tcm:4-513870"
"1481","","I can show understanding of Christian beliefs and explore the similarities and differences between these and my developing beliefs.","RME 2-01c","tcm:4-513873"
"1482","","Having reflected upon Christian sources, I can explain some key Christian beliefs about God, Jesus, the human condition and the natural world, and how these beliefs lead to actions for Christians.","RME 3-01a","tcm:4-513866"
"1483","","Through investigating and reflecting upon how Christians put their beliefs into action, I can reflect upon the consequences of putting my own beliefs into action.","RME 3-01b","tcm:4-513871"
"1484","","I can explain a range of beliefs which Christians hold about 'ultimate questions' and participate in debates about these.","RME 3-01c","tcm:4-513874"
"1485","","I can give examples of the contribution of Christian beliefs to the development of Scotland, now and in the past.","RME 3-01d","tcm:4-513875"
"1486","","Having considered key Christian beliefs, I can express reasoned views on these and discuss how putting them into practice might affect individuals and society. I can confidently support my own responses to these issues of belief.","RME 4-01a","tcm:4-513867"
"1487","","I can explain the contribution of Christian beliefs to the development of Scotland, now and in the past.","RME 4-01b","tcm:4-513876"
"1488","","","Practices and traditions","tcm:4-513474"
"1489","","I am becoming aware of the importance of celebrations, festivals and customs in Christian people's lives.","RME 0-03a","tcm:4-513892"
"1490","","Through investigating the Christian communities in my local area, I am discovering how Christian communities demonstrate their beliefs through prayer, worship and special ceremonies. I am developing respect for the practices and traditions of others.","RME 1-03a","tcm:4-513893"
"1491","","I am developing an awareness of the ways in which Christians celebrate different times of year and can relate these to my own life and community.","RME 1-03b","tcm:4-513898"
"1492","","I am increasing my knowledge and understanding of different forms of Christian worship and artefacts and can explain their importance for Christians.","RME 2-03a","tcm:4-513894"
"1493","","Through investigating the ways in which Christians mark major life events and times of year, I can explain key features of such festivals and celebrations.","RME 2-03b","tcm:4-513900"
"1494","","I can describe the practices and traditions of Christianity and have considered the way these have influenced Scottish society.","RME 2-03c","tcm:4-513904"
"1495","","Through investigation of and reflection on Christian traditions, practices and customs, I can explain the significance of these for Christians across a range of Scottish Christian Traditions.","RME 3-03a","tcm:4-513895"
"1496","","I am developing my understanding of Scotland's religious diversity within Christianity and of the place of religion in society.","RME 3-03b","tcm:4-513901"
"1497","","Through researching a range of Christian traditions, practices and customs, I can explain their significance across a range of Christian Traditions. I can consider the place of these in the contemporary religious life of Scotland.","RME 4-03a","tcm:4-513897"
"1498","","I am able to reflect upon my own responses to the challenges and opportunities presented by religious and cultural diversity and extend this reflection from the Scottish to the global context.","RME 4-03b","tcm:4-513903"
"1499","","","Values and issues","tcm:4-513473"
"1500","","As I play and learn, I am developing my understanding of what is fair and unfair and the importance of caring for, sharing and co-operating with others.","RME 0-02a","tcm:4-513877"
"1501","","Having explored biblical and other Christian stories, I can show my developing understanding of key values of Christianity and how they might be put into action in people's lives and communities.","RME 1-02a","tcm:4-513878"
"1502","","I can describe the key features of the values of Christianity which are expressed in stories.","RME 1-02b","tcm:4-513884"
"1503","","Through investigating and reflecting upon the lives and teachings of Jesus and key Christian figures, and drawing upon moral values as expressed in Christianity, I am beginning to understand how these have influenced Christian morality.","RME 2-02a","tcm:4-513880"
"1504","","I can share my developing views about values such as fairness and equality and love, caring, sharing and human rights.","RME 2-02b","tcm:4-513886"
"1505","","Having reflected upon Christian responses to issues of morality, I can discuss ways in which to create a more just, equal, compassionate and tolerant society.","RME 3-02a","tcm:4-513881"
"1506","","I can demonstrate my developing understanding of moral values through participating in events and projects which make a positive difference to others.","RME 3-02b","tcm:4-513887"
"1507","","I can describe how the values of Christianity contribute to as well as challenge Scottish and other societies.","RME 3-02c","tcm:4-513890"
"1508","","Through exploring a range of issues of morality, I can consider Christian responses to these issues and relate these to my own developing values.","RME 4-02a","tcm:4-513883"
"1509","","I can apply my developing understanding of morality to consider a range of moral dilemmas in order to find ways which could promote a more just and compassionate society.","RME 4-02b","tcm:4-513888"
"1510","","I can explain how the values of Christianity contribute to as well as challenge Scottish and other societies.","RME 4-02c","tcm:4-513891"
"1511","","","Development of beliefs and values","tcm:4-513471"
"1512","","I am developing respect for others and my understanding of their beliefs and values.","RME 0-07a","tcm:4-541804"
"1513","","As I play and learn, I am developing my understanding of what is fair and unfair and why caring and sharing are important.","RME 0-09a","tcm:4-513942"
"1514","","I am developing respect for others and my understanding of their beliefs and values.","RME 1-07a","tcm:4-541820"
"1515","","I am developing an increasing awareness and understanding of my own beliefs and I put them into action in positive ways.","RME 1-08a","tcm:4-541780"
"1516","","I am developing an awareness that some people have beliefs and values which are independent of religion.","RME 1-09a","tcm:4-513943"
"1517","","I can show my understanding of values such as caring, sharing, fairness, equality and love.","RME 1-09b","tcm:4-513951"
"1518","","I am becoming aware that people's beliefs and values affect their actions.","RME 1-09c","tcm:4-513956"
"1519","","I am developing respect for others and my understanding of their beliefs and values.","RME 2-07a","tcm:4-541826"
"1520","","I am developing an increasing awareness and understanding of my own beliefs and I put them into action in positive ways.","RME 2-08a","tcm:4-541784"
"1521","","I am increasing my understanding of how people come to have their beliefs, and further developing my awareness that there is a diversity of belief in modern Scotland.","RME 2-09a","tcm:4-513945"
"1522","","I am developing my understanding that people have beliefs and values based upon religious or other positions.","RME 2-09b","tcm:4-534716"
"1523","","I can explain why different people think that values such as honesty, respect and compassion are important, and I show respect for others.","RME 2-09c","tcm:4-513952"
"1524","","I am developing my understanding of how my own and other people's beliefs and values affect their actions.","RME 2-09d","tcm:4-513955"
"1525","","I am developing respect for others and my understanding of their beliefs and values.","RME 3-07a","tcm:4-541830"
"1526","","I am developing an increasing awareness and understanding of my own beliefs and I put them into action in positive ways.","RME 3-08a","tcm:4-541788"
"1527","","Through reflection and discussion, I can explain a range of beliefs which people hold and can participate in debates about 'ultimate questions'.","RME 3-09a","tcm:4-513948"
"1528","","I am developing my own understanding of values such as honesty, respect and compassion and am able to identify how these values might be applied in relation to moral issues.","RME 3-09b","tcm:4-513953"
"1529","","I can explain how the different beliefs that people have, including beliefs which are independent of religion, relate to their moral viewpoints and how this leads them to respond to moral issues.","RME 3-09c","tcm:4-513957"
"1530","","I am developing my understanding of the nature of belief and morality.","RME 3-09d","tcm:4-513960"
"1531","","I am developing respect for others and my understanding of their beliefs and values.","RME 4-07a","tcm:4-541834"
"1532","","I am developing an increasing awareness and understanding of my own beliefs and I put them into action in positive ways.","RME 4-08a","tcm:4-541792"
"1533","","Having reflected upon and considered a range of beliefs, belief systems and moral viewpoints, I can express reasoned views on how putting these beliefs and values into action might lead to changes in society.","RME 4-09a","tcm:4-513946"
"1534","","I am able to apply my understanding of a range of moral viewpoints, including those which are independent of religion, to specific moral issues and am aware of the diversity of moral viewpoints held in modern Scotland and the wider world.","RME 4-09b","tcm:4-513954"
"1535","","I can explain my own responses to the benefits and challenges presented by the increasing diversity of belief to modern Scotland and the wider world.","RME 4-09c","tcm:4-513959"
