course_id,crb,programme_owner,programme_identifier,programme_owner_identifier,title,level,credits,subject_1,subject_2,description,target,approval_date,review_date,private,archived
23962,SQA Credit Rating Service,Digital Marketing Institute,CR085,ORG082,Digital Marketing Institute Postgraduate Diploma in Digital Marketing,11,120,Other,,"Digital marketing management taught by experienced practitioners in digital marketing. Main modules: Digital Consumer Behaviour, Digital Marketing Channels, Digital Marketing Planning &amp; Strategy.",The award is for marketing professionals with some experience of digital marketing or with a desire to develop their career in this direction.,15/06/2012,30/06/2019,0,0
23961,SQA Accreditation,City & Guilds,GA4N 24,,SVQ 4 in Business and Administration at SCQF level 7,7,33 - 69,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/02/2011,28/02/2016,0,0
23960,SQA Accreditation,City & Guilds,GA4M 23,,SVQ 3 in Business and Administration at SCQF level 6,6,23 - 53,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/02/2011,28/02/2016,0,0
23959,SQA Accreditation,City & Guilds,GA4L 22,,SVQ 2 in Business and Administration at SCQF level 5,5,18 - 48,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/02/2011,28/02/2016,0,0
23958,SQA Accreditation,City & Guilds,GA4K 21,,SVQ 1 in Business and Administration at SCQF level 4,4,15 - 20,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/02/2011,28/02/2016,0,0
23957,SQA Accreditation,Safety Training Awards,R272 04,,STA Award in Emergency First Aid at Work at SCQF level 5,5,1,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,23/01/2013,31/03/2017,0,0
23956,SQA Accreditation,Safety Training Awards,R273 04,,STA Award in First Aid at Work at SCQF level 6,6,3,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,23/01/2013,31/03/2017,0,0
23955,SQA Accreditation,City & Guilds,R275 04,,Diploma in Network Construction Operations (Gas) - Service Layer at SCQF level 5,5,41 - 56,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,23/01/2013,28/02/2017,0,0
23954,SQA Accreditation,City & Guilds,R274 04,,Diploma in Network Construction Operations (Gas) - Main Layer at SCQF level 5,5,49 - 67,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,23/01/2013,28/02/2017,0,0
23953,SQA Accreditation,PIABC,R249 04,,Award in Timber and Panel Products and their Uses at SCQF level 5,5,10,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,15/08/2012,31/12/2016,0,0
23952,SQA Accreditation,Association of  Chartered Certified Accountants,R207 04,,Diploma in Accounting and Business at SCQF level 7,7,n/a,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,11/01/2012,31/01/2014,0,0
23951,SQA Accreditation,Association of  Chartered Certified Accountants,R210 04,,Certificate in Financial Management at SCQF level 7,7,4,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,11/01/2012,31/01/2014,0,0
23950,SQA Accreditation,Association of  Chartered Certified Accountants,R208 04,,Certificate in Auditing at SCQF level 7,7,7,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,11/01/2012,31/01/2014,0,0
23949,SQA Accreditation,Association of  Chartered Certified Accountants,R209 04,,Certificate in Taxation at SCQF level 7,7,16,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,11/01/2012,31/01/2014,0,0
23948,SQA Accreditation,Association of  Chartered Certified Accountants,R206 04,,Intermediate Certificate in Financial and Management Accounting at SCQF level 6,6,38 - 43,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,11/01/2012,31/01/2014,0,0
23947,SQA Accreditation,Association of  Chartered Certified Accountants,R205 04,,Introductory Certificate in Financial and Management Accounting at SCQF level 5,5,28 - 33,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,11/01/2012,31/01/2014,0,0
23946,SQA Accreditation,First Aid Awards Limited,R149 04,,Award in Cardiopulmonary Resuscitation and Automated External Defibrillation at SCQF Level 5,5,1,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,06/07/2011,31/03/2017,0,0
23945,SQA Accreditation,First Aid Awards Limited,R124 04,,Award in Paediatric First Aid at SCQF Level 5,5,2,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,12/01/2011,31/03/2017,0,0
23944,SQA Accreditation,First Aid Awards Limited,R271 04,,Award in Activity First Aid at SCQF Level 5,5,2,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23943,SQA Accreditation,First Aid Awards Limited,R270 04,,Award in Emergency First Aid at Work at SCQF Level 5,5,1,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23942,SQA Accreditation,First Aid Awards Limited,R269 04,,Award in First Aid at Work at SCQF Level 6,6,3,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23941,SQA Accreditation,Lantra Awards Limited,R266 04,,Emergency First Aid at Work at SCQF Level 5,5,1,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23940,SQA Accreditation,Lantra Awards Limited,R265 04,,First Aid at Work at SCQF Level 6,6,3,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23939,SQA Accreditation,Future (Awards and Qualifications) Limited,R268 04,,Emergency First Aid at Work at SCQF Level 5,5,1,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23938,SQA Accreditation,Future (Awards and Qualifications) Limited,R267 04,,First Aid at Work at SCQF Level 6,6,3,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,01/01/2013,31/03/2017,0,0
23937,SQA Credit Rating Service,Diversity Matters,CR105,ORG099,Everyone Together,6,8,Health and Social Care,,"The purpose of the programme is to helpall of them to understand each other better in terms of theirneeds and the roles they play in the giving and receiving ofpersonal care.","The award will be delivered to groups of people who employ personal assistants through self-directed support payments and their carers some of whom may also befamily members.",09/10/2012,31/10/2020,0,0
23934,Institute of Leadership and Management,Association of Accounting Technicians,AATSCQFL6,52,AAT Level 3 Diploma in Accounting at SCQF Level 6,6,37,Finance,Management,Management accounting qualification for those with an established grounding in accountancy,Graduates with some basic accounting experience looking to progress to the next level,05/12/2012,05/12/2013,0,0
23933,Institute of Leadership and Management,Association of Accounting Technicians,AATSCQFL5,52,AAT Level 2 Certificate in Accounting at SCQF Level 5,5,34,Finance,Management,AAT\'s introductory qualification into accounting,For A level graduates and those wanting to gain a basic understanding of accounting,05/12/2012,05/12/2013,0,0
23932,SQA Credit Rating Service,Perth & Kinross Council,8,0008pkc,Certificate in Child Care and Protection,9,12,Health and Social Care,,5 day course covering issues surrounding child protection,Adults working with issues of child protection,25/01/2008,31/03/2013,0,0
23931,Institute of Leadership and Management,Association of Accounting Technicians,AATL4,52,AAT Level 4 Diploma in Accounting at SCQF Level 8,8,42,Management,Finance,The Association of Accounting Technicians introductory qualification at level 3,Learners with a fair degree of experience in accountacy practices who would like to take their accountancy training to the next level,01/01/1970,01/01/1970,0,0
23928,SQA Accreditation,Education Development International,GF3V 24,1,SVQ 4 Health and Social Care at SCQF level 9,9,72,Health and Social Care,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,30/05/2012,31/01/2014,0,0
23927,SQA Accreditation,City & Guilds,G7PP 22,City and Guilds,SVQ 2 Health and Social Care at SCQF level 6,6,60,Health and Social Care,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,25/01/2005,31/01/2014,0,0
23926,SQA Accreditation,Education Development International,G73Y 24,34,SVQ 4 in Children's Care Learning and Develoment at SCQF level 9,9,98 - 141,Health and Social Care,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,30/05/2012,31/01/2014,0,0
23925,SQA Accreditation,Education Development International,G73X 23,34,"SVQ 3 Children's Care, Learning and Development at SCQF level 7",7,96 - 123,Health and Social Care,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,30/05/2012,31/01/2014,0,0
23924,SQA Accreditation,City & Guilds,G80A 23,173,"SVQ 3 Children's Care, Learning and Development at SCQF level 7",7,96 - 123,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,06/09/2005,31/01/2014,0,0
23923,SQA Accreditation,City & Guilds,G808 22,173,"SVQ 2 Children's Care, Learning and Development at SCQF level 5",6,54 - 65,,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,06/09/2005,31/01/2014,0,0
23922,SQA Accreditation,Education Development International,G732 22,34,"SVQ 2 Children's Care, Learning and Development at SCQF level 5",6,54 - 64,Health and Social Care,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,30/05/2012,31/01/2014,0,0
23921,SQA Credit Rating Service,Rag Tag N Textile,CR094,ORG089,Practical Crafting,4,5,Other,,"This award is designed as an introduction to traditional crafting skills. There is the opportunity to explore the basics of three techniques: rag-rugging, felt-making and knitting.",This award is suitable for candidates of all ages who wish to acquire and develop crafting skills. The course is particularly suited to therapeutic learning environments and peer learning.,22/01/2013,31/01/2018,0,0
23919,SQA Accreditation,SQA Awarding Body/B&amp;ES,GD7N23,SQA Awarding Body/HVCA,"SVQ 3 Install, Commission and Maintain Air Conditioning Systems SCQF level 6",6,123,Engineering,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,19/10/2011,31/07/2016,0,0
23918,SQA Accreditation,SQA Awarding Body/B&amp;ES,GD7L23,SQA Awarding Body/HVCA,"SVQ 3 Install, Commission and Maintain Refrigeration Systems SCQF level 6",6,123,Engineering,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,19/10/2011,31/07/2016,0,0
23917,SQA Accreditation,SQA Awarding Body/B&amp;ES,GD7M22,SQA Awarding Body/HVCA,SVQ 2 Install and Maintain Refrigeration and Air Conditioning (RAC) Systems SCQF level 5,5,95,Engineering,,For more information please see SQA website. www.sqa.org.uk,For more information please see SQA website. www.sqa.org.uk,19/10/2011,31/07/2016,0,0
23916,City & Guilds,City & Guilds,3902-73,23397C8396,Level 3 Diploma in General Vehicle Maintenance,3,45,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don\\\'t need any previous experience, and you don\\\'t need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23915,City & Guilds,City & Guilds,3902-71d,23397C8396,Level 3 Diploma in Introduction to Vehicle Systems Maintenance,3,45,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23914,City & Guilds,City & Guilds,3902-74d,23397C8396,Level 4 Diploma in Introduction to Vehicle Systems Maintenance,4,45,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23913,City & Guilds,City & Guilds,3902-72d,23397C8396,Level 3 Diploma in Introduction to Vehicle Body &amp; Paint Maintenance,3,40,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23912,City & Guilds,City & Guilds,3902-71a,23397C8396,Level 3 Award in Introduction to Vehicle Systems Maintenance,3,12,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23911,City & Guilds,City & Guilds,3902-74a,23397C8396,Level 4 Award in Introduction to Vehicle Systems Maintenance,4,12,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23910,City & Guilds,City & Guilds,3902-71c,23397C8396,Level 3 Certificate in Introduction to Vehicle Systems Maintenance,3,25,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23909,City & Guilds,City & Guilds,3902-74c,23397C8396,Level 4 Certificate in Introduction to Vehicle Systems Maintenance,4,25,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23908,City & Guilds,City & Guilds,3902-72c,23397C8396,Level 3 Certificate in Introduction to Vehicle Body &amp; Paint Maintenance,3,24,Engineering,,"Learn the basics of repairing or refinishing cars with the Award, Certificate or Diploma in Vehicle Systems and Body and Paint Maintenance.","These introductory automotive qualifications are for anyone interested in a career repairing or refinishing cars. You don't need any previous experience, and you don't need to be working in the industry already. You might be a young learner (age 14 and up) or an adult.",01/09/2011,31/08/2014,0,0
23907,SQA Awarding Body,SQA Awarding Body,GC3K16,SQA01,Higher National Social Sciences,8,240,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23906,SQA Awarding Body,SQA Awarding Body,C07208,SQA/AB,"National Religious, Moral and Philosophical Studies",2,18,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/1999,01/01/1970,0,0
23905,SQA Awarding Body,SQA Awarding Body,C07209,SQA/AB,"National Religious, Moral and Philosophical Studies",3,18,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/1999,01/01/1970,0,0
23904,SQA Awarding Body,SQA Awarding Body,C26510,SQA/AB,"National Religious, Moral and Philosophical Studies",4,24,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23903,SQA Awarding Body,SQA Awarding Body,C26511,SQA/AB,"National Religious, Moral and Philosophical Studies",5,24,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23902,SQA Awarding Body,SQA Awarding Body,C26512,SQA/AB,"National Religious, Moral and Philosophical Studies",6,24,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23901,SQA Awarding Body,SQA Awarding Body,C26513,SQA/AB,"National Religious, Moral and Philosophical Studies",7,32,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23900,SQA Awarding Body,SQA Awarding Body,C07908,SQA/AB,National Social Subjects,2,18,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/1999,01/01/1970,0,0
23899,SQA Awarding Body,SQA Awarding Body,C07909,SQA/AB,National Social Subjects,3,18,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/1999,01/01/1970,0,0
23898,SQA Awarding Body,SQA Awarding Body,C04409,SQA/AB,National History,3,18,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23897,SQA Awarding Body,SQA Awarding Body,C04410,SQA/AB,National History,4,24,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/1999,01/01/1970,0,0
23896,SQA Awarding Body,SQA Awarding Body,C04411,SQA/AB,National History,5,24,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/1999,01/01/1970,0,0
23895,SQA Awarding Body,SQA Awarding Body,C25912,SQA/AB,National History,6,24,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
